region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
Analamanga,2020-06-26,nowcast,1.4,1.2,1.6,1.3,1.5,0
Analamanga,2020-06-27,nowcast,1.4,1.2,1.6,1.3,1.5,0
Analamanga,2020-06-28,nowcast,1.4,1.2,1.6,1.3,1.5,0
Analamanga,2020-06-29,nowcast,1.4,1.2,1.6,1.3,1.4,0
Analamanga,2020-06-30,nowcast,1.4,1.2,1.5,1.3,1.4,0
Analamanga,2020-07-01,nowcast,1.3,1.1,1.5,1.3,1.4,0
Analamanga,2020-07-02,nowcast,1.3,1.1,1.4,1.2,1.3,0
Analamanga,2020-07-03,nowcast,1.2,1.1,1.4,1.2,1.3,0.01
Analamanga,2020-07-04,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
Analamanga,2020-07-05,nowcast,1.2,1,1.3,1.1,1.2,0.02
Analamanga,2020-07-06,nowcast,1.1,1,1.3,1.1,1.2,0.03
Analamanga,2020-07-07,nowcast,1.1,1,1.2,1.1,1.2,0.05
Analamanga,2020-07-08,nowcast,1.1,1,1.2,1,1.1,0.12
Analamanga,2020-07-09,nowcast,1.1,0.9,1.2,1,1.1,0.18
Analamanga,2020-07-10,forecast,1.1,0.9,1.2,1,1.1,0.27
Analamanga,2020-07-11,forecast,1.1,0.9,1.3,1,1.1,0.32
Analamanga,2020-07-12,forecast,1.1,0.8,1.3,0.9,1.1,0.37
Analamanga,2020-07-13,forecast,1,0.8,1.3,0.9,1.1,0.41
Analamanga,2020-07-14,forecast,1,0.8,1.3,0.9,1.1,0.41
Analamanga,2020-07-15,forecast,1,0.7,1.3,0.9,1.2,0.43
Analamanga,2020-07-16,forecast,1,0.7,1.3,0.9,1.2,0.45
Analamanga,2020-07-17,forecast,1,0.7,1.4,0.9,1.2,0.46
Analamanga,2020-07-18,forecast,1,0.7,1.4,0.9,1.2,0.46
Analamanga,2020-07-19,forecast,1,0.6,1.4,0.8,1.1,0.5
Analamanga,2020-07-20,forecast,1,0.6,1.4,0.9,1.2,0.48
Analamanga,2020-07-21,forecast,1,0.6,1.4,0.8,1.2,0.51
Analamanga,2020-07-22,forecast,1,0.5,1.4,0.8,1.1,0.51
Analamanga,2020-07-23,forecast,1,0.5,1.5,0.8,1.2,0.51
Atsinanana,2020-03-28,nowcast,1,0.1,2.3,0.4,1.3,0.48
Atsinanana,2020-03-29,nowcast,1.1,0,2.3,0.5,1.3,0.46
Atsinanana,2020-03-30,nowcast,1,0.1,2.3,0.4,1.2,0.49
Atsinanana,2020-03-31,nowcast,1.1,0,2.5,0.5,1.4,0.44
Atsinanana,2020-04-01,nowcast,1.1,0.1,2.4,0.5,1.4,0.43
Atsinanana,2020-04-02,nowcast,1.1,0.1,2.4,0.4,1.3,0.44
Atsinanana,2020-04-03,nowcast,1.1,0.1,2.4,0.5,1.4,0.41
Atsinanana,2020-04-04,nowcast,1.1,0.2,2.4,0.6,1.5,0.42
Atsinanana,2020-04-05,nowcast,1.1,0.1,2.2,0.4,1.3,0.47
Atsinanana,2020-04-06,nowcast,1,0.1,2.1,0.5,1.3,0.48
Atsinanana,2020-04-07,nowcast,1,0.1,2,0.4,1.2,0.51
Atsinanana,2020-04-08,nowcast,0.9,0,2,0.3,1.1,0.56
Atsinanana,2020-04-09,nowcast,0.9,0.1,2,0.4,1.1,0.58
Atsinanana,2020-04-10,nowcast,0.9,0.1,2.1,0.3,1.1,0.54
Atsinanana,2020-04-11,nowcast,0.9,0.1,2.1,0.3,1,0.57
Atsinanana,2020-04-12,nowcast,0.9,0,2.1,0.3,1,0.56
Atsinanana,2020-04-13,nowcast,0.9,0,2.1,0.3,1,0.58
Atsinanana,2020-04-14,nowcast,0.9,0,2.1,0.4,1.1,0.57
Atsinanana,2020-04-15,nowcast,1,0.1,2.4,0.3,1.1,0.52
Atsinanana,2020-04-16,nowcast,1,0,2.3,0.3,1.1,0.5
Atsinanana,2020-04-17,nowcast,1.1,0.1,2.6,0.3,1.2,0.46
Atsinanana,2020-04-18,nowcast,1.2,0.1,2.8,0.5,1.4,0.38
Atsinanana,2020-04-19,nowcast,1.3,0.1,2.9,0.7,1.8,0.32
Atsinanana,2020-04-20,nowcast,1.5,0.2,2.9,0.7,1.8,0.27
Atsinanana,2020-04-21,nowcast,1.5,0.3,3.1,0.7,1.7,0.24
Atsinanana,2020-04-22,nowcast,1.6,0.4,3.3,0.9,1.9,0.19
Atsinanana,2020-04-23,nowcast,1.7,0.4,3.1,1,2,0.14
Atsinanana,2020-04-24,nowcast,1.7,0.5,3.3,1,2,0.13
Atsinanana,2020-04-25,nowcast,1.7,0.6,3,1.1,1.9,0.1
Atsinanana,2020-04-26,nowcast,1.7,0.7,3,1.1,2,0.11
Atsinanana,2020-04-27,nowcast,1.7,0.7,2.8,1.2,2,0.09
Atsinanana,2020-04-28,nowcast,1.6,0.8,2.8,1.2,1.9,0.07
Atsinanana,2020-04-29,nowcast,1.6,0.9,2.6,1.3,1.9,0.08
Atsinanana,2020-04-30,nowcast,1.6,0.8,2.5,1.2,1.8,0.07
Atsinanana,2020-05-01,nowcast,1.6,0.8,2.3,1.2,1.8,0.08
Atsinanana,2020-05-02,nowcast,1.5,0.9,2.3,1.2,1.8,0.07
Atsinanana,2020-05-03,nowcast,1.6,0.9,2.3,1.3,1.8,0.06
Atsinanana,2020-05-04,nowcast,1.6,1,2.3,1.3,1.8,0.05
Atsinanana,2020-05-05,nowcast,1.5,1,2.2,1.3,1.8,0.03
Atsinanana,2020-05-06,nowcast,1.6,1,2.2,1.3,1.8,0.04
Atsinanana,2020-05-07,nowcast,1.5,1,2.1,1.3,1.7,0.03
Atsinanana,2020-05-08,nowcast,1.5,1,2.1,1.3,1.7,0.04
Atsinanana,2020-05-09,nowcast,1.5,1,2,1.3,1.6,0.05
Atsinanana,2020-05-10,nowcast,1.4,0.9,1.9,1.3,1.6,0.06
Atsinanana,2020-05-11,nowcast,1.4,1,1.8,1.3,1.6,0.07
Atsinanana,2020-05-12,nowcast,1.3,1,1.8,1.2,1.5,0.06
Atsinanana,2020-05-13,nowcast,1.3,1,1.7,1.2,1.5,0.08
Atsinanana,2020-05-14,nowcast,1.3,0.9,1.6,1.1,1.4,0.09
Atsinanana,2020-05-15,nowcast,1.2,0.9,1.6,1.1,1.4,0.11
Atsinanana,2020-05-16,nowcast,1.2,0.9,1.5,1.1,1.3,0.14
Atsinanana,2020-05-17,nowcast,1.1,0.8,1.5,1,1.3,0.21
Atsinanana,2020-05-18,nowcast,1.1,0.8,1.4,1,1.2,0.31
Atsinanana,2020-05-19,nowcast,1,0.7,1.3,0.9,1.2,0.42
